sujeto;predicado;objeto
"Conic Section";"CAN_BE_DESCRIBED_BY";"Set of points"
"Set of points";"ARE_LOCATED_IN";"Coordinate Plane"
"Conic Section";"IS_A";"Quadratic equation"
"Quadratic equation";"HAS";"Variables"
"Signs of the equation";"DETERMINE";"Shape"
"Coefficients of variable terms";"DETERMINE";"Shape"
"Sum of distances";"IS_A";"Constant"
"Sum of distances";"IS_FROM";"Fixed points"
"Fixed points";"ARE_CALLED";"Focus / Foci"
"Set of Points (x,y) (x,y)";"HAVE";"Sum of distances"
"Ellipse";"DEFINED_AS";"Set of Points (x,y) (x,y)"
"Ellipse";"IS_A_VARIATION_OF";"Standard form of equation"
"Ellipse";"CAN_BE_DRAWN_USING";"String"
"String";"HAS";"Length of string"
"Length of string";"REPRESENTS_THE";"Constant"
"Ellipse";"CAN_BE_DRAWN_USING";"Pencil"
"Ellipse";"CAN_BE_DRAWN_USING";"Thumbtack"
"Ellipse";"CAN_BE_DRAWN_USING";"Piece of Cardboard"
