sujeto;predicado;objeto;confianza;frase
"overall_demand_for_goods_and_services_in_an_economy";"outpace";"economy 's ability";1.000;"demand-pull inflation is a type of inflation that occurs when the overall_demand_for_goods_and_services_in_an_economy outpaces the economy's ability to supply them."
"economy";"have";"ability";1.000;"demand-pull inflation is a type of inflation that occurs when the overall_demand_for_goods_and_services_in_an_economy outpaces the economy's ability to supply them."
"economy 's ability";"supply";"they";1.000;"demand-pull inflation is a type of inflation that occurs when the overall_demand_for_goods_and_services_in_an_economy outpaces the economy's ability to supply them."
"increase";"be in";"pull inflation";1.000;"In demand-pull inflation, there is an increase in consumer_spending, business_investment, or government_expenditure, leading to a surge_in_demand."
"increase";"be in";"inflation";1.000;"In demand-pull inflation, there is an increase in consumer_spending, business_investment, or government_expenditure, leading to a surge_in_demand."
"increase";"be in";"consumer_spending lead to surge_in_demand";1.000;"In demand-pull inflation, there is an increase in consumer_spending, business_investment, or government_expenditure, leading to a surge_in_demand."
"increase";"be in";"demand pull inflation";1.000;"In demand-pull inflation, there is an increase in consumer_spending, business_investment, or government_expenditure, leading to a surge_in_demand."
"business";"meet increased_demand with";"businesses";1.000;"As demand_rises, businesses may struggle to meet the increased_demand with their existing_production_capacities, resulting in upward_pressure_on_prices."
"business";"may struggle as";"demand_rises";1.000;"As demand_rises, businesses may struggle to meet the increased_demand with their existing_production_capacities, resulting in upward_pressure_on_prices."
"business";"meet";"increased_demand";1.000;"As demand_rises, businesses may struggle to meet the increased_demand with their existing_production_capacities, resulting in upward_pressure_on_prices."
"consumers";"spend";"more";1.000;"strong_consumer_spending: When consumers have higher_disposable_income_or_confidence_in_the_economy, they tend to spend more on goods_and_services."
"consumer";"have";"higher_disposable_income_or_confidence_in_the_economy";1.000;"strong_consumer_spending: When consumers have higher_disposable_income_or_confidence_in_the_economy, they tend to spend more on goods_and_services."
"increased_consumer_demand";"can lead to";"relative";1.000;"increased_consumer_demand can lead to a shortage_of_supply relative to the demand, pushing prices higher."
"increased_consumer_demand";"can lead to";"shortage_of_supply relative";1.000;"increased_consumer_demand can lead to a shortage_of_supply relative to the demand, pushing prices higher."
"increased_consumer_demand";"can lead to";"shortage_of_supply relative to demand";1.000;"increased_consumer_demand can lead to a shortage_of_supply relative to the demand, pushing prices higher."
"increased_consumer_demand";"can lead to";"relative to demand";1.000;"increased_consumer_demand can lead to a shortage_of_supply relative to the demand, pushing prices higher."
"central_banks";"may implement";"expansionary_monetary_policies";0.737;"expansionary_monetary_policy: central_banks may implement expansionary_monetary_policies, such as lowering interest_rates or increasing the money_supply, to stimulate economic_growth."
"central_banks";"expansionary_monetary_policies such";"interest_rates";0.381;"expansionary_monetary_policy: central_banks may implement expansionary_monetary_policies, such as lowering interest_rates or increasing the money_supply, to stimulate economic_growth."
"central_banks";"expansionary_monetary_policies such";"lower interest_rates";0.381;"expansionary_monetary_policy: central_banks may implement expansionary_monetary_policies, such as lowering interest_rates or increasing the money_supply, to stimulate economic_growth."
"central_banks";"stimulate";"economic_growth";1.000;"expansionary_monetary_policy: central_banks may implement expansionary_monetary_policies, such as lowering interest_rates or increasing the money_supply, to stimulate economic_growth."
"demand";"be in";"economy";1.000;"government_spending: increased_government_spending, particularly when financed through deficit_spending_or_borrowing, can stimulate demand in the economy."
"government_expenditure";"can contribute";"demand";1.000;"government_expenditure on infrastructure_projects, welfare_programs, or defense can contribute to demand-pull inflation."
"government_expenditure";"can contribute";"to demand";1.000;"government_expenditure on infrastructure_projects, welfare_programs, or defense can contribute to demand-pull inflation."
"business";"be";"when optimistic";1.000;"investment_and_business_confidence: When businesses are optimistic about future_prospects, they may increase investment and expand their production_capacities."
"business";"be optimistic about";"future_prospects";1.000;"investment_and_business_confidence: When businesses are optimistic about future_prospects, they may increase investment and expand their production_capacities."
"businesses";"expand";"businesses";1.000;"investment_and_business_confidence: When businesses are optimistic about future_prospects, they may increase investment and expand their production_capacities."
"business";"be";"optimistic";1.000;"investment_and_business_confidence: When businesses are optimistic about future_prospects, they may increase investment and expand their production_capacities."
"business";"be";"when optimistic about future_prospects";1.000;"investment_and_business_confidence: When businesses are optimistic about future_prospects, they may increase investment and expand their production_capacities."
"the demand_for_their_products";"can lead to";"inflationary_pressures";1.000;"However, if the demand_for_their_products outstrips the expanded_supply, it can lead to inflationary_pressures."
"the demand_for_their_products";"however can lead to";"inflationary_pressures";1.000;"However, if the demand_for_their_products outstrips the expanded_supply, it can lead to inflationary_pressures."
"demand_for_their_products";"outstrip";"expanded_supply";1.000;"However, if the demand_for_their_products outstrips the expanded_supply, it can lead to inflationary_pressures."
