sujeto;predicado;objeto;confianza;frase
"normative ethic";"be in";"history of philosophy";1.000;"Utilitarianism is one of the most powerful and persuasive approaches to normative ethics in the history of philosophy."
"position";"fully articulate until";"century";1.000;"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"articulate until";"century";1.000;"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"articulate until";"19th century";1.000;"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"can";"can discern";1.000;"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"fully articulate until";"19th century";1.000;"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"can";"can discern throughout history";1.000;"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"can";"can discern throughout history of ethical theory";1.000;"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"can";"can discern throughout history of theory";1.000;"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"Utilitarianism";"be hold";"though be";1.000;"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"hold";1.000;"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"variety of view discuss";1.000;"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"view";1.000;"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"generally hold";1.000;"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be generally hold";"though be";1.000;"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
