sujeto;predicado;objeto;confianza;frase
"place";"metabolic process of";"organism";"0.333";"The metabolic processes of all organisms can only take place in very specific physical and chemical environments."
"place";"process of";"organism";"0.333";"The metabolic processes of all organisms can only take place in very specific physical and chemical environments."
"chemical process";"take";"place";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"chemical process";"also take";"place";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"chemical process";"take place in";"interstitial fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"chemical process";"also take place inside";"cell";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"chemical process";"also take place in";"fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"condition";"vary with";"organism";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"chemical process";"take place in";"fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"chemical process";"take place inside";"cell";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"chemical process";"also take place in";"interstitial fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"homeostatic mechanism";"be";"regulator";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"know homeostatic mechanism";"be";"regulator";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"know homeostatic mechanism";"be in";"human";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"know mechanism";"be";"regulator";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"mechanism";"be";"regulator";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"control other entity";"be in";"body";"1.0";"However, a great many other homeostatic mechanisms, encompassing many aspects of human physiology, control other entities in the body."
"great many other homeostatic mechanism";"entity in";"body";"1.0";"However, a great many other homeostatic mechanisms, encompassing many aspects of human physiology, control other entities in the body."
"the levels of variables";"be prefix with";"with hyper respectively hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"level";"be high than";"that";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"level";"be high than";"that need";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with respectively hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"level";"be";"where high than that";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
