sujeto;predicado;objeto;confianza;frase
"normative ethic";"be in";"history of philosophy";"1.0";"Utilitarianism is one of the most powerful and persuasive approaches to normative ethics in the history of philosophy."
"position";"fully articulate until";"century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"articulate until";"century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"articulate until";"19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"can";"can discern";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"fully articulate until";"19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"can";"can discern throughout history";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"can";"can discern throughout history of ethical theory";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"position";"can";"can discern throughout history of theory";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"Utilitarianism";"be hold";"though be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"hold";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"variety of view discuss";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"generally hold";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be generally hold";"though be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be hold";"to view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be generally hold";"view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be hold";"view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be";"many variety of view discuss";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be generally hold";"be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be hold";"be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"right action";"be";"action";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"action";"be";"action";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"Utilitarianism";"be generally hold";"to view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"right action";"be understand entirely in";"term of consequence produce";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"action";"be";"understand entirely";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"action";"be understand in";"term";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"action";"be";"understand";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand in";"term of consequence produce";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"action";"be understand entirely in";"term";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be";"understand entirely";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand in";"term";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be";"understand";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand entirely in";"term";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand in";"term of consequence";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"action";"be understand in";"term of consequence";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"action";"be understand in";"term of consequence produce";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand entirely in";"term of consequence";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"action";"be understand entirely in";"term of consequence";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"action";"be understand entirely in";"term of consequence produce";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"one";"ought maximize";"overall good";"1.0";"On the utilitarian view one ought to maximize the overall good — that is, consider the good of others as well as one's own good."
"one";"ought maximize";"good";"1.0";"On the utilitarian view one ought to maximize the overall good — that is, consider the good of others as well as one's own good."
"John Stuart Mill";"be";"hedonist";"0.472";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"John Stuart Mill";"identify so";"good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"John Stuart Mill";"identify";"good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"classical Utilitarians";"identify so";"good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"Jeremy Bentham";"identify so";"good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"John Stuart Mill";"be hedonist about";"value";"0.472";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"classical Utilitarians";"identify";"good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
