sujeto;predicado;objeto
"Metabolic Processes";"REQUIRE";"Environment"
"Environment";"HAS";"Conditions"
"Organisms";"HAVE";"Metabolic Processes"
"Conditions";"CAN_BE";"Physical Conditions"
"Conditions";"CAN_BE";"Chemical Conditions"
"Conditions";"VARY_WITH";"Organisms"
"Conditions";"VARY_WITH";"Chemical Processes"
"Chemical Processes";"OCCUR_IN";"Cell"
"Chemical Processes";"OCCUR_IN";"Interstitial Fluid"
"Interstitial Fluid";"BATHS";"Cell"
"Humans";"HAVE";"Homeostatic Mechanisms"
"Mammals";"HAVE";"Homeostatic Mechanisms"
"Humans";"ARE";"Mammals"
"Regulators";"ARE_PART_OF";"Homeostatic Mechanisms"
"Regulators";"MAINTAIN";"Extracellular Fluid"
"Extracellular Fluid";"HAS_PROPERTY";"Temperature"
"Extracellular Fluid";"HAS_PROPERTY";"pH"
"Extracellular Fluid";"HAS_PROPERTY";"Osmolality"
"Extracellular Fluid";"CONTAINS";"Sodium"
"Extracellular Fluid";"CONTAINS";"Potassium"
"Extracellular Fluid";"CONTAINS";"Glucose"
"Extracellular Fluid";"CONTAINS";"Oxygen"
"Extracellular Fluid";"CONTAINS";"Carbon Dioxide"
"Human Physiology";"INCLUDES";"Homeostatic Mechanisms"
"Homeostatic Mechanisms";"CONTROL";"Body entities"
"Body entities";"HAVE";"Variables"
"Variables";"CAN_BE";"Higher than needed"
"Variables";"CAN_BE";"Lower than needed"
"Higher than needed";"CAN_CAUSE";"Hypertension"
"Higher than needed";"CAN_CAUSE";"Hyperthermia"
"Higher than needed";"PREFIXED_WITH";"-hyper"
"Lower than needed";"CAN_CAUSE";"Hypothermia"
"Lower than needed";"CAN_CAUSE";"Hypotension"
"Lower than needed";"PREFIXED_WITH";"-hypo"
