sujeto;predicado;objeto;confianza;frase
overall demand;be in;economy;1.0;Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them.
economy;have;ability to supply;1.0;Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them.
increase;be in;consumer spending lead to surge;1.0;In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand.
increase;be in;pull inflation;1.0;In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand.
increase;be in;inflation;1.0;In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand.
increase;be in;demand pull inflation;1.0;In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand.
surge;be in;demand;1.0;In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand.
business;meet;demand result in upward pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they exist production capacity result;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they production capacity result in pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;may struggle as;demand rise;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they production capacity result in upward pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they exist production capacity result in upward pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand result in pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they exist production capacity result in upward pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they exist production capacity result;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they production capacity result in upward pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they exist production capacity result in pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they production capacity;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they production capacity;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they production capacity result in pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they exist production capacity result in upward pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they production capacity result;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they production capacity result in pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand result in pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand result;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they production capacity result;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they exist production capacity;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand result in pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand result in upward pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they production capacity result in upward pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand result in upward pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand result in pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they exist production capacity;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they exist production capacity result in upward pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they exist production capacity result in pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they production capacity result in pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand with they exist production capacity result in pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand result in upward pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;increase demand result;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they exist production capacity result in pressure on price;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
increase demand;be with;businesses;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
business;meet;demand with they production capacity result in upward pressure;1.0;As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices.
consumer;high disposable income in;economy;0.257;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;have;disposable income;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;have;income in economy;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;have;high income in economy;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;have;high disposable income in economy;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;have;high disposable income;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;have;high income;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;have;income;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;disposable income in;economy;0.257;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;high income in;economy;0.257;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;have;disposable income in economy;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
high disposable income;be in;economy;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumers;spend;more;1.0;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer;income in;economy;0.257;Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services.
consumer demand;can lead to;shortage relative;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
increase consumer demand;can lead to;shortage of supply relative to demand;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
increase consumer demand;can lead to;shortage relative;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
increase consumer demand;can lead to;shortage;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
consumer demand;can lead to;shortage;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
increase consumer demand;can lead to;shortage of supply;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
increase consumer demand;can lead to;shortage relative to demand;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
increase consumer demand;can lead to;shortage of supply relative;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
consumer demand;can lead to;shortage of supply relative to demand;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
consumer demand;can lead to;shortage relative to demand;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
consumer demand;can lead to;shortage of supply relative;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
consumer demand;can lead to;shortage of supply;1.0;Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher.
central bank;may implement;expansionary policy;1.0;Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth.
bank;may implement;monetary policy;1.0;Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth.
central bank;may implement;monetary policy;1.0;Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth.
central bank;may implement;policy;1.0;Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth.
bank;may implement;policy;1.0;Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth.
bank;may implement;expansionary policy;1.0;Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth.
central bank;may implement;expansionary monetary policy;1.0;Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth.
bank;may implement;expansionary monetary policy;1.0;Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth.
government spending;demand in;economy;0.61;Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy.
government spending;can stimulate;demand;1.0;Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy.
demand;be in;economy;1.0;Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy.
increase government spending;can stimulate;demand in economy;1.0;Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy.
government spending;can stimulate;demand in economy;1.0;Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy.
increase government spending;can stimulate;demand;1.0;Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy.
