sujeto;predicado;objeto
"Morally Right Action";"DETERMINED_BY";"Consequences"
"Morally Right Action";"PRODUCES_MOST";"Good"
"Utilitarianism";"DEFINES";"Morally Right Action"
"Utilitarianism";"IS_APPROACH_TO";"Normative Ethics"
"Utilitarianism";"DEVELOPED_IN";"19th century"
"Proto-Utilitarian positions";"PRECEDE";"Utilitarianism"
"Proto-Utilitarian positions";"DISCERENED_THROUGHOUT";"History of Ethical Theory"
"John Stuart Mill";"IS";"Classical Utilitarians"
"Jeremy Bentham";"IS";"Classical Utilitarians"
"Epicurus";"ASSOCIATED_WITH";"Hedonism"
"Classical Utilitarians";"IDENTIFY_GOOD_WITH";"Pleasure"
"Utilitarianism";"TRIES_TO_MAXIMIZE";"Overall Good"
"Overall Good";"INCLUDES";"Good of others"
"Overall Good";"INCLUDES";"One's own good"
"Utilitarianism";"IS_A_FORM_OF";"Consequentialism"
"Consequentialism";"VALUES_ACTIONS_BY";"Consequences"
"Utilitarianism";"DISTINGUISHED_FROM";"Egoism"
"Utilitarianism";"CONSIDERS";"One's own good"
"Utilitarianism";"CONSIDERS";"Good of others"
