"sujeto";"predicado";"objeto";"confianza";"frase"
"place";"metabolic process of";"all organisms";"0.333";"The metabolic processes of all organisms can only take place in very specific physical and chemical environments."
"place";"process of";"all organisms";"0.333";"The metabolic processes of all organisms can only take place in very specific physical and chemical environments."
"the chemical processes";"take";"place";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"the chemical processes";"also take";"place";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"the chemical processes";"take place in";"the interstitial fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"the chemical processes";"also take place inside";"the cell";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"the chemical processes";"also take place in";"the interstitial fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"The conditions";"vary with";"each organism";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"the chemical processes";"take place in";"the interstitial fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"the chemical processes";"take place inside";"the cell";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"the chemical processes";"also take place in";"the interstitial fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"The best - known homeostatic mechanisms";"be";"regulators";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"The best - known homeostatic mechanisms";"be";"regulators";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"The best - known homeostatic mechanisms";"be in";"humans";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"The best - known homeostatic mechanisms";"be";"regulators";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"The best - known homeostatic mechanisms";"be";"regulators";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"human physiology , control other entities";"be in";"the body";"1.0";"However, a great many other homeostatic mechanisms, encompassing many aspects of human physiology, control other entities in the body."
"a great many other homeostatic mechanisms";"entity in";"the body";"1.0";"However, a great many other homeostatic mechanisms, encompassing many aspects of human physiology, control other entities in the body."
"the levels of variables";"be prefix with";"with hyper respectively hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels";"be high than";"that";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels";"be high than";"that need";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with respectively hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels";"be";"where high than that";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be prefix with";"with hyper hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be";"often prefix";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be prefix with";"with hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with hyper respectively hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be";"prefix";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels";"be";"where high than that need";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels";"be";"where high";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels";"be";"high";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be prefix with";"with respectively hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with hyper hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"metabolic processes of all organisms";"can take place in";"very specific physical and chemical environments";"1.0";"The metabolic_processes_of_all_organisms can only take place in very specific_physical_and_chemical_environments."
"metabolic processes of all organisms";"can take place in";"specific physical and chemical environments";"1.0";"The metabolic_processes_of_all_organisms can only take place in very specific_physical_and_chemical_environments."
"metabolic processes of all organisms";"can only take place in";"specific physical and chemical environments";"1.0";"The metabolic_processes_of_all_organisms can only take place in very specific_physical_and_chemical_environments."
"metabolic processes of all organisms";"can only take place in";"very specific physical and chemical environments";"1.0";"The metabolic_processes_of_all_organisms can only take place in very specific_physical_and_chemical_environments."
"metabolic processes of all organisms";"can take";"place";"1.0";"The metabolic_processes_of_all_organisms can only take place in very specific_physical_and_chemical_environments."
"metabolic processes of all organisms";"can only take";"place";"1.0";"The metabolic_processes_of_all_organisms can only take place in very specific_physical_and_chemical_environments."
"chemical processes";"take";"place inside the cell";"1.0";"The conditions vary with each organism, and also with whether the chemical_processes take place_inside_the_cell or in the interstitial_fluid bathing the cells."
"chemical processes";"also take";"place inside the cell";"1.0";"The conditions vary with each organism, and also with whether the chemical_processes take place_inside_the_cell or in the interstitial_fluid bathing the cells."
"know homeostatic mechanism";"be in";"humans and other mammals";"1.0";"The best-known homeostatic mechanisms in humans_and_other_mammals are regulators that keep the composition of the extracellular_fluid (or the ""internal environment"") constant, especially with regard to the temperature, ph, osmolality, and the concentrations of sodium, potassium, glucose, carbon_dioxide, and oxygen."
"great many other homeostatic mechanisms";"entity in";"body";"1.0";"However, a great_many_other_homeostatic_mechanisms, encompassing many aspects of human_physiology, control other entities in the body."
"levels of variables";"be high than";"that";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"the levels of variables";"be prefix with";"with respectively hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"the levels of variables";"be prefix with";"with hyper respectively hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"the levels of variables";"be often prefix with";"with respectively hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"levels of variables";"be";"where high";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"the levels of variables";"be often prefix with";"with hyper respectively hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"the levels of variables";"be prefix with";"with hyper hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"levels of variables";"be";"where high than that need";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
