"sujeto";"predicado";"objeto";"confianza";"frase"
"the overall demand";"be in";"an economy";"1.0";"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"an economy";"have";"the economy 's ability to supply them";"1.0";"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"an increase";"be in";"an increase in consumer spending , business investment , or government expenditure , leading to a surge in demand";"1.0";"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"an increase";"be in";"demand - pull inflation";"1.0";"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"an increase";"be in";"demand - pull inflation";"1.0";"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"an increase";"be in";"demand - pull inflation";"1.0";"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"a surge";"be in";"demand";"1.0";"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"businesses";"meet";"demand result in upward pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they exist production capacity result";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they production capacity result in pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"may struggle as";"demand rises";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they production capacity result in upward pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they exist production capacity result in upward pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand result in pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they exist production capacity result in upward pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they exist production capacity result";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they production capacity result in upward pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they exist production capacity result in pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they production capacity";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they production capacity";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they production capacity result in pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they exist production capacity result in upward pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they production capacity result";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they production capacity result in pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand result in pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand result";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they production capacity result";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they exist production capacity";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand result in pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand result in upward pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they production capacity result in upward pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand rises";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand result in upward pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand result in pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they exist production capacity";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they exist production capacity result in upward pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they exist production capacity result in pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they production capacity result in pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"the increased demand";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand with they exist production capacity result in pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand result in upward pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increase demand result";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they exist production capacity result in pressure on price";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"the increased demand";"be with";"businesses";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand with they production capacity result in upward pressure";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"consumers";"high disposable income in";"the economy";"0.257";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"have";"higher disposable income";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"have";"higher disposable income or confidence in the economy";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"have";"higher disposable income or confidence in the economy";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"have";"higher disposable income or confidence in the economy";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"have";"higher disposable income";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"have";"higher disposable income";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"have";"higher disposable income";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"disposable income in";"the economy";"0.257";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"high income in";"the economy";"0.257";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"have";"higher disposable income or confidence in the economy";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"higher disposable income";"be in";"the economy";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"spend";"more";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"income in";"the economy";"0.257";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"Increased consumer demand";"can lead to";"shortage relative";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"Increased consumer demand";"can lead to";"shortage of supply relative to demand";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"Increased consumer demand";"can lead to";"shortage relative";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"Increased consumer demand";"can lead to";"a shortage";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"Increased consumer demand";"can lead to";"a shortage";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"Increased consumer demand";"can lead to";"a shortage of supply";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"Increased consumer demand";"can lead to";"shortage relative to demand";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"Increased consumer demand";"can lead to";"shortage of supply relative";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"Increased consumer demand";"can lead to";"shortage of supply relative to demand";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
