"sujeto";"predicado";"objeto";"confianza";"frase"
"normative ethics";"be in";"the history of philosophy";"1.0";"Utilitarianism is one of the most powerful and persuasive approaches to normative ethics in the history of philosophy."
"utilitarian positions";"fully articulate until";"the 19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"articulate until";"the 19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"articulate until";"the 19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"fully articulate until";"the 19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"can discern throughout";"the history";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"can discern throughout";"the history of ethical theory";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"can discern throughout";"the history of ethical theory";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarianism";"be hold";"though be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"hold";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"many varieties of the view discussed";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"the view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"generally hold";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be generally hold";"though be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be hold";"to view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be generally hold";"the view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be hold";"the view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"many varieties of the view discussed";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be generally hold";"be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be hold";"be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"the morally right action";"be";"the action";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"the action";"be";"the action";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be generally hold";"to view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"the right action";"be understand entirely in";"terms of consequences produced";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be";"understand entirely";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand in";"terms";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be";"understand";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand in";"terms of consequences produced";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand entirely in";"terms";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be";"understand entirely";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand in";"terms";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be";"understand";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand entirely in";"terms";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand in";"terms of consequences produced";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand in";"terms of consequences produced";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand in";"terms of consequences produced";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand entirely in";"terms of consequences produced";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand entirely in";"terms of consequences produced";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"the right action";"be understand entirely in";"terms of consequences produced";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"one";"ought maximize";"overall good";"1.0";"On the utilitarian view one ought to maximize the overall good — that is, consider the good of others as well as one's own good."
"one";"ought maximize";"good";"1.0";"On the utilitarian view one ought to maximize the overall good — that is, consider the good of others as well as one's own good."
"John Stuart Mill";"be";"hedonists";"0.472";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"John Stuart Mill";"identify so";"the good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"John Stuart Mill";"identify";"the good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"classical utilitarians";"identify so";"the good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"Jeremy Bentham";"identify so";"the good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"John Stuart Mill";"be hedonist about";"value";"0.472";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"classical utilitarians";"identify";"the good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"utilitarians";"identify so";"the good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"Jeremy Bentham";"identify";"the good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"utilitarians";"identify";"the good";"1.0";"The Classical Utilitarians, Jeremy Bentham and John Stuart Mill, identified the good with pleasure, so, like Epicurus, were hedonists about value."
"utilitarianism";"be one";"most powerful and persuasive approaches to normative ethics in the history of philosophy";"1.0";"utilitarianism is one of the most powerful_and_persuasive_approaches_to_normative_ethics_in_the_history_of_philosophy."
"utilitarianism";"be one";"powerful and persuasive approaches to normative ethics in the history of philosophy";"1.0";"utilitarianism is one of the most powerful_and_persuasive_approaches_to_normative_ethics_in_the_history_of_philosophy."
"utilitarianism";"be one of";"most powerful and persuasive approaches to normative ethics in the history of philosophy";"1.0";"utilitarianism is one of the most powerful_and_persuasive_approaches_to_normative_ethics_in_the_history_of_philosophy."
"utilitarianism";"be one of";"powerful and persuasive approaches to normative ethics in the history of philosophy";"1.0";"utilitarianism is one of the most powerful_and_persuasive_approaches_to_normative_ethics_in_the_history_of_philosophy."
"proto utilitarian positions";"articulate until";"19th century";"1.0";"Though not fully articulated until the 19th_century, proto-utilitarian_positions can be discerned throughout the history_of_ethical_theory."
"proto utilitarian positions";"can discern throughout";"history of ethical theory";"1.0";"Though not fully articulated until the 19th_century, proto-utilitarian_positions can be discerned throughout the history_of_ethical_theory."
"proto utilitarian positions";"fully articulate until";"19th century";"1.0";"Though not fully articulated until the 19th_century, proto-utilitarian_positions can be discerned throughout the history_of_ethical_theory."
"morally right action";"be";"action";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally_right_action is the action that produces the most good."
"one";"ought on";"utilitarian view";"1.0";"On the utilitarian_view one ought to maximize the overall_good — that is, consider the good_of_others as well as one's own good."
"one";"maximize";"overall good";"1.0";"On the utilitarian_view one ought to maximize the overall_good — that is, consider the good_of_others as well as one's own good."
