"sujeto";"predicado";"objeto";"confianza";"frase"
"normative ethics";"be in";"history of philosophy";"1.0";"Utilitarianism is one of the most powerful and persuasive approaches to normative ethics in the history of philosophy."
"utilitarian positions";"fully articulate until";"19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"articulate until";"19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"articulate until";"19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"can";"can discern";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"fully articulate until";"19th century";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"can";"history";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"can";"history of ethical theory";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarian positions";"can";"history of ethical theory";"1.0";"Though not fully articulated until the 19th century, proto-utilitarian positions can be discerned throughout the history of ethical theory."
"utilitarianism";"be hold";"though be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"hold";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"varieties";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"generally hold";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be generally hold";"though be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be hold";"view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be generally hold";"view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be hold";"view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be";"varieties";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be generally hold";"be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be hold";"be";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"morally right action";"be";"action";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"action";"be";"action";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"utilitarianism";"be generally hold";"view";"1.0";"Though there are many varieties of the view discussed, utilitarianism is generally held to be the view that the morally right action is the action that produces the most good."
"right action";"be understand entirely in";"form of consequentialism";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be";"understand entirely";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand in";"terms";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be";"understand";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand in";"form of consequentialism";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand entirely in";"terms";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be";"understand entirely";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand in";"terms";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be";"understand";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
"right action";"be understand entirely in";"terms";"1.0";"One thing to note is that the theory is a form of consequentialism: the right action is understood entirely in terms of consequences produced."
