"sujeto";"predicado";"objeto"
"Conic sections";"can also describe by";"set"
"set";"be in";"coordinate plane"
"Conic sections";"can also describe by";"set"
"Conic sections";"can describe by";"set of points in the coordinate plane"
"Conic sections";"can describe by set in";"coordinate plane"
"Conic sections";"can describe by";"set of points in the coordinate plane"
"Conic sections";"can describe by";"set of points in the coordinate plane"
"Conic sections";"can describe by";"set of points in the coordinate plane"
"Conic sections";"can also describe by";"set of points in the coordinate plane"
"Conic sections";"can describe by";"set"
"Conic sections";"can also describe by set in";"coordinate plane"
"Conic sections";"can describe by set in";"coordinate plane"
"Conic sections";"can also describe by";"set of points in the coordinate plane"
"Conic sections";"can also describe by set in";"coordinate plane"
"Conic sections";"can describe by";"set"
"Conic sections";"can also describe by";"set of points in the coordinate plane"
"Conic sections";"can also describe by";"set of points in the coordinate plane"
"graph";"be";"conic section"
"quadratic equation";"graph of be";"conic section"
"graph";"be in";"quadratic equation in two variables"
"quadratic equation";"graph of be";"conic section"
"signs";"determine";"shape"
"coefficients";"determine";"shape"
"section";"focus on";"variations of the standard form of the equation for the ellipse"
"section";"focus on";"variations of the standard form of the equation for the ellipse"
"section";"focus on";"variations of the standard form of the equation for the ellipse"
"section";"focus on";"variations"
"section";"focus on";"variations of the standard form of the equation for the ellipse"
"section";"focus on";"variations of the standard form of the equation for the ellipse"
"section";"focus on";"variations of the standard form of the equation for the ellipse"
"set";"be in";"set of all points ( x , y ) ( x , y ) in a plane"
"fixed point";"be call";"focus"
"fixed point";"be call";"plural"
"we";"can draw";"ellipse"
"we";"can draw";"cardboard , two thumbtacks , a pencil , and string"
"thumbtacks";"form";"focus"
"thumbtacks";"be in";"cardboard"
"thumbtacks";"form";"foci of the ellipse"
"result";"be";"ellipse"
"conic sections";"can also describe by";"set of points in the coordinate plane"
"conic sections";"can describe by";"set of points in the coordinate plane"
"graph of any quadratic equation in two variables";"be";"conic section"
"signs of the equations and the coefficients of the variable terms";"determine";"shape"
"section";"focus on";"four variations of the standard form of the equation for the ellipse"
"set";"be in";"plane that sum of they distance from two fixed points constant"
"fixed point";"be call";"plural"
"fixed point";"be call";"focus"
"thumbtack";"form";"foci of the ellipse"
