"sujeto";"predicado";"objeto"
"overall demand";"be in";"economy"
"economy";"have";"economy 's ability"
"increase";"be in";"increase in consumer spending , business investment , or government expenditure"
"increase";"be in";"demand - pull inflation"
"increase";"be in";"demand - pull inflation"
"increase";"be in";"demand - pull inflation"
"surge";"be in";"demand"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"upward pressure on prices"
"businesses";"may struggle as";"demand rises"
"businesses";"meet";"upward pressure"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"increased demand"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"increased demand"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"demand rises"
"businesses";"meet";"demand rises"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"upward pressure"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"demand"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"increased demand"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"increased demand"
"businesses";"meet";"increased demand"
"businesses";"meet";"upward pressure on prices"
"businesses";"meet";"upward pressure"
"businesses";"meet";"increased demand"
"businesses";"meet";"upward pressure on prices"
"increased demand";"be with";"businesses"
"businesses";"meet";"upward pressure"
"consumers";"have";"higher disposable income"
"consumers";"have";"higher disposable income or confidence in the economy"
"consumers";"have";"higher disposable income or confidence in the economy"
"consumers";"have";"higher disposable income or confidence in the economy"
"consumers";"have";"higher disposable income"
"consumers";"have";"higher disposable income"
"consumers";"have";"higher disposable income"
"consumers";"have";"higher disposable income or confidence in the economy"
"higher disposable income";"be in";"economy"
"consumers";"spend";"more"
"Increased consumer demand";"can lead to";"shortage"
"Increased consumer demand";"can lead to";"shortage of supply"
"Increased consumer demand";"can lead to";"shortage"
"Increased consumer demand";"can lead to";"shortage"
"Increased consumer demand";"can lead to";"shortage"
"Increased consumer demand";"can lead to";"shortage of supply"
"Increased consumer demand";"can lead to";"shortage"
"Increased consumer demand";"can lead to";"shortage of supply"
"Increased consumer demand";"can lead to";"shortage of supply"
"Increased consumer demand";"can lead to";"shortage"
"Increased consumer demand";"can lead to";"shortage of supply"
"Increased consumer demand";"can lead to";"shortage of supply"
"Central banks";"may implement";"Expansionary Monetary Policy"
"Central banks";"may implement";"Expansionary Monetary Policy"
"Central banks";"may implement";"Expansionary Monetary Policy"
"Central banks";"may implement";"Expansionary Monetary Policy"
"Central banks";"may implement";"Expansionary Monetary Policy"
"Central banks";"may implement";"Expansionary Monetary Policy"
"Central banks";"may implement";"Expansionary Monetary Policy"
"Central banks";"may implement";"Expansionary Monetary Policy"
"Government Spending";"can stimulate";"demand"
"demand";"be in";"economy"
"Increased government spending";"can stimulate";"demand"
"Government Spending";"can stimulate";"demand"
"Increased government spending";"can stimulate";"demand"
"Government expenditure";"can contribute";"demand - pull inflation"
"Government expenditure";"can contribute";"demand - pull inflation"
"businesses";"expand";"businesses"
"businesses";"be";"when optimistic"
"businesses";"be optimistic about";"future prospects"
"businesses";"be";"optimistic"
"businesses";"be";"future prospects"
"demand for their products";"can lead to";"inflationary pressures"
"demand for their products";"however can lead to";"inflationary pressures"
"demand";"outstrip";"expanded supply"
"demand for their products";"however can lead to";"inflationary pressures"
"demand for their products";"can lead to";"inflationary pressures"
"demand";"outstrip";"expanded supply"
"overall demand for goods and services in an economy";"outpace";"economy 's ability"
"economy";"have";"ability"
"economy 's ability";"supply";"they"
"increase";"be in";"consumer spending lead to surge in demand"
"business";"meet increased demand with";"businesses"
"business";"may struggle as";"demand rises"
"business";"meet";"increased demand"
"consumer";"have";"higher disposable income or confidence in the economy"
"increased consumer demand";"can lead to";"relative"
"increased consumer demand";"can lead to";"shortage of supply relative"
"increased consumer demand";"can lead to";"shortage of supply relative to demand"
"increased consumer demand";"can lead to";"relative to demand"
"central banks";"stimulate";"economic growth"
"the demand for their products";"can lead to";"inflationary pressures"
"the demand for their products";"however can lead to";"inflationary pressures"
"demand for their products";"outstrip";"expanded supply"
