"sujeto";"predicado";"objeto"
"normative ethics";"be in";"history of philosophy"
"utilitarian positions";"fully articulate until";"19th century"
"utilitarian positions";"articulate until";"19th century"
"utilitarian positions";"articulate until";"19th century"
"utilitarian positions";"fully articulate until";"19th century"
"utilitarian positions";"can discern throughout";"history"
"utilitarian positions";"can discern throughout";"history of ethical theory"
"utilitarian positions";"can discern throughout";"history of ethical theory"
"utilitarianism";"be hold";"though be"
"utilitarianism";"be";"hold"
"utilitarianism";"be";"varieties"
"utilitarianism";"be";"view"
"utilitarianism";"be";"generally hold"
"utilitarianism";"be generally hold";"though be"
"utilitarianism";"be hold";"view"
"utilitarianism";"be generally hold";"view"
"utilitarianism";"be hold";"view"
"utilitarianism";"be";"varieties"
"utilitarianism";"be generally hold";"be"
"utilitarianism";"be hold";"be"
"morally right action";"be";"action"
"action";"be";"action"
"utilitarianism";"be generally hold";"view"
"right action";"be understand entirely in";"form of consequentialism"
"right action";"be";"understand entirely"
"right action";"be understand in";"terms"
"right action";"be";"understand"
"right action";"be understand in";"form of consequentialism"
"right action";"be understand entirely in";"terms"
"right action";"be";"understand entirely"
"right action";"be understand in";"terms"
"right action";"be";"understand"
"right action";"be understand entirely in";"terms"
"right action";"be understand in";"form of consequentialism"
"right action";"be understand in";"form of consequentialism"
"right action";"be understand in";"form of consequentialism"
"right action";"be understand entirely in";"form of consequentialism"
"right action";"be understand entirely in";"form of consequentialism"
"right action";"be understand entirely in";"form of consequentialism"
"one";"ought maximize";"overall good"
"one";"ought maximize";"good"
"John Stuart Mill";"identify so";"good"
"John Stuart Mill";"identify";"good"
"Classical Utilitarians";"identify so";"good"
"Jeremy Bentham";"identify so";"good"
"Classical Utilitarians";"identify";"good"
"utilitarians";"identify so";"good"
"Jeremy Bentham";"identify";"good"
"utilitarians";"identify";"good"
"utilitarianism";"be one";"most powerful and persuasive approaches to normative ethics in the history of philosophy"
"utilitarianism";"be one";"powerful and persuasive approaches to normative ethics in the history of philosophy"
"utilitarianism";"be one of";"most powerful and persuasive approaches to normative ethics in the history of philosophy"
"utilitarianism";"be one of";"powerful and persuasive approaches to normative ethics in the history of philosophy"
"proto utilitarian positions";"articulate until";"19th century"
"proto utilitarian positions";"can discern throughout";"history of ethical theory"
"proto utilitarian positions";"fully articulate until";"19th century"
"morally right action";"be";"action"
"one";"ought on";"utilitarian view"
"one";"maximize";"overall good"
