"sujeto";"predicado";"objeto"
"graph of any quadratic equation in two variables";"be";"conic section"
"result";"be";"ellipse"
"fixed point";"be call";"focus"
"fixed point";"be call";"plural"
"thumbtacks";"be in";"cardboard"
"set";"be in";"coordinate plane"
"set";"be in";"plane that sum of they distance from two fixed points constant"
"graph";"be in";"quadratic equation in two variables"
"set";"be in";"set of all points ( x , y ) ( x , y ) in a plane"
"Conic sections";"can also describe by";"set of points in the coordinate plane"
"conic sections";"can also describe by";"set of points in the coordinate plane"
"Conic sections";"can also describe by set in";"coordinate plane"
"we";"can draw";"cardboard , two thumbtacks , a pencil , and string"
"we";"can draw";"ellipse"
"signs of the equations and the coefficients of the variable terms";"determine";"shape"
"section";"focus on";"four variations of the standard form of the equation for the ellipse"
"thumbtacks";"form";"foci of the ellipse"
"thumbtacks";"form";"focus"
"quadratic equation";"graph of be";"conic section"
