"sujeto";"predicado";"objeto"
"businesses";"be";"when optimistic"
"increase";"be in";"consumer spending lead to surge in demand"
"surge";"be in";"demand"
"increase";"be in";"demand - pull inflation"
"higher disposable income";"be in";"economy"
"overall demand";"be in";"economy"
"increase";"be in";"increase in consumer spending , business investment , or government expenditure"
"businesses";"be optimistic about";"future prospects"
"increased demand";"be with";"businesses"
"Government expenditure";"can contribute";"demand - pull inflation"
"Increased consumer demand";"can lead to";"shortage of supply"
"increased consumer demand";"can lead to";"shortage of supply relative to demand"
"Government Spending";"can stimulate";"demand"
"Increased government spending";"can stimulate";"demand"
"businesses";"expand";"businesses"
"economy";"have";"economy 's ability"
"consumers";"have";"higher disposable income or confidence in the economy"
"the demand for their products";"however can lead to";"inflationary pressures"
"Central banks";"may implement";"Expansionary Monetary Policy"
"businesses";"may struggle as";"demand rises"
"businesses";"meet";"demand rises"
"businesses";"meet";"existing production capacities"
"businesses";"meet";"increased demand"
"businesses";"meet";"upward pressure on prices"
"business";"meet increased demand with";"businesses"
"overall demand for goods and services in an economy";"outpace";"economy 's ability"
"demand for their products";"outstrip";"expanded supply"
"consumers";"spend";"more"
"central banks";"stimulate";"economic growth"
"economy 's ability";"supply";"they"
