"sujeto";"predicado";"objeto"
"morally right action";"be";"action"
"utilitarianism";"be";"generally hold"
"right action";"be";"understand entirely"
"utilitarianism";"be";"varieties"
"utilitarianism";"be generally hold";"though be"
"utilitarianism";"be generally hold";"view"
"normative ethics";"be in";"history of philosophy"
"utilitarianism";"be one of";"most powerful and persuasive approaches to normative ethics in the history of philosophy"
"right action";"be understand entirely in";"form of consequentialism"
"right action";"be understand entirely in";"terms"
"proto utilitarian positions";"can discern throughout";"history of ethical theory"
"proto utilitarian positions";"fully articulate until";"19th century"
"Classical Utilitarians";"identify so";"good"
"Jeremy Bentham";"identify so";"good"
"John Stuart Mill";"identify so";"good"
"utilitarians";"identify so";"good"
"one";"ought maximize";"overall good"
"one";"ought on";"utilitarian view"
