"sujeto";"predicado";"objeto";"confianza";"frase"
"chemical processes";"also take";"place inside the cell";"1.0";"The conditions vary with each organism, and also with whether the chemical_processes take place_inside_the_cell or in the interstitial_fluid bathing the cells."
"chemical processes";"also take place in";"interstitial fluid";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"chemical processes";"also take place inside";"cell";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"levels of variables";"be";"often prefix";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"best - known homeostatic mechanisms";"be";"regulators";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"levels of variables";"be";"where high than that need";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"levels of variables";"be high than";"that need";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"human physiology , control other entities";"be in";"body";"1.0";"However, a great many other homeostatic mechanisms, encompassing many aspects of human physiology, control other entities in the body."
"best - known homeostatic mechanisms";"be in";"humans";"1.0";"The best-known homeostatic mechanisms in humans and other mammals are regulators that keep the composition of the extracellular fluid (or the ""internal environment"") constant, especially with regard to the temperature, pH, osmolality, and the concentrations of sodium, potassium, glucose, carbon dioxide, and oxygen."
"know homeostatic mechanism";"be in";"humans and other mammals";"1.0";"The best-known homeostatic mechanisms in humans_and_other_mammals are regulators that keep the composition of the extracellular_fluid (or the ""internal environment"") constant, especially with regard to the temperature, ph, osmolality, and the concentrations of sodium, potassium, glucose, carbon_dioxide, and oxygen."
"levels of variables";"be often prefix with";"hyper -";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"levels of variables";"be often prefix with";"hyperthermia and hypothermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with hyper hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"the levels of variables";"be often prefix with";"with hyper respectively hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"the levels of variables";"be often prefix with";"with hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"the levels of variables";"be often prefix with";"with respectively hyperthermia and hypothermia or hypertension and hypotension";"1.0";"Where the levels_of_variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia_and_hypothermia_or_hypertension_and_hypotension."
"metabolic processes of all organisms";"can only take";"place";"1.0";"The metabolic_processes_of_all_organisms can only take place in very specific_physical_and_chemical_environments."
"metabolic processes of all organisms";"can only take place in";"very specific physical and chemical environments";"1.0";"The metabolic_processes_of_all_organisms can only take place in very specific_physical_and_chemical_environments."
"great many other homeostatic mechanisms";"entity in";"body";"1.0";"However, a great many other homeostatic mechanisms, encompassing many aspects of human physiology, control other entities in the body."
"place";"metabolic process of";"organisms";"0.333";"The metabolic processes of all organisms can only take place in very specific physical and chemical environments."
"conditions";"vary with";"organism";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
