"sujeto";"predicado";"objeto";"confianza";"frase"
"businesses";"be";"when optimistic";"1.0";"Investment and Business Confidence: When businesses are optimistic about future prospects, they may increase investment and expand their production capacities."
"increase";"be in";"consumer spending lead to surge in demand";"1.0";"In demand-pull inflation, there is an increase in consumer_spending, business_investment, or government_expenditure, leading to a surge_in_demand."
"surge";"be in";"demand";"1.0";"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"increase";"be in";"demand - pull inflation";"1.0";"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"higher disposable income";"be in";"economy";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"overall demand";"be in";"economy";"1.0";"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"increase";"be in";"increase in consumer spending , business investment , or government expenditure";"1.0";"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"businesses";"be optimistic about";"future prospects";"1.0";"Investment and Business Confidence: When businesses are optimistic about future prospects, they may increase investment and expand their production capacities."
"increased demand";"be with";"businesses";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"Government expenditure";"can contribute";"demand - pull inflation";"1.0";"Government expenditure on infrastructure projects, welfare programs, or defense can contribute to demand-pull inflation."
"Increased consumer demand";"can lead to";"shortage of supply";"1.0";"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"increased consumer demand";"can lead to";"shortage of supply relative to demand";"1.0";"increased_consumer_demand can lead to a shortage_of_supply relative to the demand, pushing prices higher."
"Government Spending";"can stimulate";"demand";"1.0";"Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy."
"Increased government spending";"can stimulate";"demand";"1.0";"Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy."
"expanded supply";"demand for";"businesses";"0.333";"However, if the demand for their products outstrips the expanded supply, it can lead to inflationary pressures."
"Government Spending";"demand in";"economy";"0.61";"Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy."
"Increased government spending";"demand in";"economy";"0.61";"Government Spending: Increased government spending, particularly when financed through deficit spending or borrowing, can stimulate demand in the economy."
"businesses";"expand";"businesses";"1.0";"Investment and Business Confidence: When businesses are optimistic about future prospects, they may increase investment and expand their production capacities."
"central banks";"expansionary monetary policies such";"lower interest rates";"0.381";"expansionary_monetary_policy: central_banks may implement expansionary_monetary_policies, such as lowering interest_rates or increasing the money_supply, to stimulate economic_growth."
"economy";"have";"economy 's ability";"1.0";"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"consumers";"have";"higher disposable income or confidence in the economy";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"consumers";"high disposable income in";"economy";"0.257";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"the demand for their products";"however can lead to";"inflationary pressures";"1.0";"However, if the demand_for_their_products outstrips the expanded_supply, it can lead to inflationary_pressures."
"Central banks";"may implement";"Expansionary Monetary Policy";"1.0";"Expansionary Monetary Policy: Central banks may implement expansionary monetary policies, such as lowering interest rates or increasing the money supply, to stimulate economic growth."
"central banks";"may implement";"expansionary monetary policies";"0.737";"expansionary_monetary_policy: central_banks may implement expansionary_monetary_policies, such as lowering interest_rates or increasing the money_supply, to stimulate economic_growth."
"businesses";"may struggle as";"demand rises";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"demand rises";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"existing production capacities";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"increased demand";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"businesses";"meet";"upward pressure on prices";"1.0";"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"business";"meet increased demand with";"businesses";"1.0";"As demand_rises, businesses may struggle to meet the increased_demand with their existing_production_capacities, resulting in upward_pressure_on_prices."
"overall demand for goods and services in an economy";"outpace";"economy 's ability";"1.0";"demand-pull inflation is a type of inflation that occurs when the overall_demand_for_goods_and_services_in_an_economy outpaces the economy's ability to supply them."
"demand for their products";"outstrip";"expanded supply";"1.0";"However, if the demand_for_their_products outstrips the expanded_supply, it can lead to inflationary_pressures."
"consumers";"spend";"more";"1.0";"Strong Consumer Spending: When consumers have higher disposable income or confidence in the economy, they tend to spend more on goods and services."
"central banks";"stimulate";"economic growth";"1.0";"expansionary_monetary_policy: central_banks may implement expansionary_monetary_policies, such as lowering interest_rates or increasing the money_supply, to stimulate economic_growth."
"economy 's ability";"supply";"they";"1.0";"demand-pull inflation is a type of inflation that occurs when the overall_demand_for_goods_and_services_in_an_economy outpaces the economy's ability to supply them."
