sujeto;predicado;objeto
"section";"can";"can also describe by set"
"set";"be in";"coordinate plane"
"conic section";"can";"can also describe by set"
"conic section";"can";"can describe by set of point in coordinate plane"
"section";"can";"can describe by set in coordinate plane"
"conic section";"can";"can describe by set of point"
"section";"can";"can describe by set of point"
"section";"can";"can describe by set of point in coordinate plane"
"conic section";"can";"can also describe by set of point in coordinate plane"
"section";"can";"can describe by set"
"conic section";"can";"can also describe by set in coordinate plane"
"conic section";"can";"can describe by set in coordinate plane"
"section";"can";"can also describe by set of point in coordinate plane"
"section";"can";"can also describe by set in coordinate plane"
"conic section";"can";"can describe by set"
"section";"can";"can also describe by set of point"
"conic section";"can";"can also describe by set of point"
"graph";"be";"conic"
"quadratic equation";"graph of be";"conic section"
"graph";"be in";"two variable"
"quadratic equation";"graph of be";"section"
"shape";"coefficient of";"variable term"
"shape";"coefficient of";"term"
"sign";"determine";"shape"
"coefficient";"determine";"shape"
"shape";"sign of";"equation"
"section";"focus on";"four variation of standard form of equation"
"section";"focus on";"four variation of form"
"section";"focus on";"four variation of form of equation for ellipse"
"section";"focus on";"four variation"
"section";"focus on";"four variation of standard form of equation for ellipse"
"section";"focus on";"four variation of standard form"
"section";"focus on";"four variation of form of equation"
"set";"be in";"plane that sum of they distance from two fix point constant"
"sum";"be";"constant"
"fix point";"be";"call"
"fix point";"be call";"focus"
"fix point";"be call";"plural"
"ellipse two thumbtack";"use";"piece of cardboard"
"we";"can draw";"ellipse"
"two thumbtack";"ellipse";"pencil"
"we";"can draw";"two thumbtack"
"ellipse two thumbtack";"use";"piece"
"two thumbtack";"ellipse";"string"
"thumbtack";"form";"focus"
"thumbtack";"be in";"cardboard"
"thumbtack";"form";"focus of ellipse"
"result";"be";"ellipse"
