"sujeto";"predicado";"objeto"
"fix point";"be";"call"
"fixed point";"be";"call"
"graph";"be";"conic"
"graph of any quadratic equation in two variables";"be";"conic section"
"sum";"be";"constant"
"result";"be";"ellipse"
"fix point";"be call";"focus"
"fixed point";"be call";"focus"
"fix point";"be call";"plural"
"fixed point";"be call";"plural"
"thumbtack";"be in";"cardboard"
"set";"be in";"coordinate plane"
"set";"be in";"plane that sum of they distance from two fix point constant"
"set";"be in";"plane that sum of they distance from two fixed points constant"
"graph";"be in";"two variable"
"conic section";"can also describe by";"set of point in coordinate plane"
"conic sections";"can also describe by";"set of points in the coordinate plane"
"conic section";"can also describe by set in";"coordinate plane"
"we";"can draw";"ellipse"
"we";"can draw";"two thumbtack"
"shape";"coefficient of";"variable term"
"signs of the equations and the coefficients of the variable terms";"determine";"shape"
"two thumbtack";"ellipse";"pencil"
"two thumbtack";"ellipse";"string"
"section";"focus on";"four variation of form of equation for ellipse"
"section";"focus on";"four variation of standard form of equation for ellipse"
"section";"focus on";"four variations of the standard form of the equation for the ellipse"
"thumbtack";"form";"foci of the ellipse"
"thumbtack";"form";"focus of ellipse"
"quadratic equation";"graph of be";"conic section"
"length of the string";"represent";"constant in definition"
"shape";"sign of";"equation"
"ellipse two thumbtack";"use";"piece of cardboard"
