sujeto;predicado;objeto
"place";"metabolic process of";"organism"
"place";"process of";"organism"
"chemical process";"take";"place"
"chemical process";"also take";"place"
"chemical process";"take place in";"interstitial fluid"
"chemical process";"also take place inside";"cell"
"chemical process";"also take place in";"fluid"
"condition";"vary with";"organism"
"chemical process";"take place in";"fluid"
"chemical process";"take place inside";"cell"
"chemical process";"also take place in";"interstitial fluid"
"homeostatic mechanism";"be";"regulator"
"know homeostatic mechanism";"be";"regulator"
"know homeostatic mechanism";"be in";"human"
"know mechanism";"be";"regulator"
"mechanism";"be";"regulator"
"control other entity";"be in";"body"
"great many other homeostatic mechanism";"entity in";"body"
"the levels of variables";"be prefix with";"with hyper respectively hyperthermia"
"level";"be high than";"that"
"the levels of variables";"be often prefix with";"with hyperthermia"
"level";"be high than";"that need"
"the levels of variables";"be often prefix with";"with respectively hyperthermia"
"level";"be";"where high than that"
"the levels of variables";"be prefix with";"with hyper hyperthermia"
"the levels of variables";"be";"often prefix"
"the levels of variables";"be prefix with";"with hyperthermia"
"the levels of variables";"be often prefix with";"with hyper respectively hyperthermia"
"the levels of variables";"be";"prefix"
"level";"be";"where high than that need"
"level";"be";"where high"
"level";"be";"high"
"the levels of variables";"be prefix with";"with respectively hyperthermia"
"the levels of variables";"be often prefix with";"with hyper hyperthermia"
