sujeto;predicado;objeto
"Metabolic processes";"REQUIRE";"Specific physical and chemical environments"
"Specific physical and chemical environments";"VARY_WITH";"Organism"
"Specific physical and chemical environments";"VARY_WITH";"Location"
"Location";"IS";"Inside the cell"
"Location";"IS";"Interstitial fluid"
"Interstitial fluid";"IS_PART_OF";"Extracellular fluid"
"Extracellular fluid";"IS_ALSO_KNOWN_AS";"Internal environment"
"Homeostatic mechanisms";"ARE";"regulators"
"Homeostatic mechanisms";"ARE_BEST_KNOWN_IN";"Humans"
"Homeostatic mechanisms";"ARE_BEST_KNOWN_IN";"Mammals"
"Homeostatic mechanisms";"KEEP_CONSTANT";"Composition of extracellular fluid"
"Composition of extracellular fluid";"INCLUDES";"Temperature"
"Composition of extracellular fluid";"INCLUDES";"pH"
"Composition of extracellular fluid";"INCLUDES";"Osmolality"
"Composition of extracellular fluid";"INCLUDES";"Sodium concentration"
"Composition of extracellular fluid";"INCLUDES";"Potassium concentration"
"Composition of extracellular fluid";"INCLUDES";"Glucose concentration"
"Composition of extracellular fluid";"INCLUDES";"Carbon dioxide concentration"
"Composition of extracellular fluid";"INCLUDES";"Oxygen concentration"
"Homeostatic mechanisms";"CONTROL";"Many other entities in the body"
"Levels of variables, higher than needed";"ARE_PREFIXED_WITH";"hyper-"
"Levels of variables, lower than needed";"ARE_PREFIXED_WITH";"hypo-"
"Hyperthermia";"IS_AN_EXAMPLE_USING";"hyper- prefix"
"Hypothermia";"IS_AN_EXAMPLE_USING";"hypo- prefix"
"Hypertension";"IS_AN_EXAMPLE_USING";"hyper- prefix"
"Hypotension";"IS_AN_EXAMPLE_USING";"hypo- prefix"
