sujeto;predicado;objeto
"overall demand";"be in";"economy"
"economy";"have";"ability to supply"
"increase";"be in";"consumer spending lead to surge"
"increase";"be in";"pull inflation"
"increase";"be in";"inflation"
"increase";"be in";"demand pull inflation"
"surge";"be in";"demand"
"business";"meet";"demand result in upward pressure on price"
"business";"meet";"demand with they exist production capacity result"
"business";"meet";"increase demand with they production capacity result in pressure on price"
"business";"may struggle as";"demand rise"
"business";"meet";"increase demand with they production capacity result in upward pressure"
"business";"meet";"demand with they exist production capacity result in upward pressure"
"business";"meet";"demand result in pressure on price"
"business";"meet";"increase demand with they exist production capacity result in upward pressure on price"
"business";"meet";"increase demand with they exist production capacity result"
"business";"meet";"increase demand with they production capacity result in upward pressure on price"
"business";"meet";"increase demand with they exist production capacity result in pressure"
"business";"meet";"increase demand with they production capacity"
"business";"meet";"demand with they production capacity"
"business";"meet";"demand with they production capacity result in pressure on price"
"business";"meet";"demand with they exist production capacity result in upward pressure on price"
"business";"meet";"increase demand with they production capacity result"
"business";"meet";"demand with they production capacity result in pressure"
"business";"meet";"demand result in pressure"
"business";"meet";"demand result"
"business";"meet";"demand with they production capacity result"
"business";"meet";"increase demand with they exist production capacity"
"business";"meet";"increase demand result in pressure on price"
"business";"meet";"demand result in upward pressure"
"business";"meet";"demand with they production capacity result in upward pressure on price"
"business";"meet";"demand"
"business";"meet";"increase demand result in upward pressure on price"
"business";"meet";"increase demand result in pressure"
"business";"meet";"demand with they exist production capacity"
"business";"meet";"increase demand with they exist production capacity result in upward pressure"
"business";"meet";"demand with they exist production capacity result in pressure"
"business";"meet";"increase demand with they production capacity result in pressure"
"business";"meet";"increase demand"
"business";"meet";"increase demand with they exist production capacity result in pressure on price"
"business";"meet";"increase demand result in upward pressure"
"business";"meet";"increase demand result"
"business";"meet";"demand with they exist production capacity result in pressure on price"
"increase demand";"be with";"businesses"
"business";"meet";"demand with they production capacity result in upward pressure"
"consumer";"high disposable income in";"economy"
"consumer";"have";"disposable income"
"consumer";"have";"income in economy"
"consumer";"have";"high income in economy"
"consumer";"have";"high disposable income in economy"
"consumer";"have";"high disposable income"
"consumer";"have";"high income"
"consumer";"have";"income"
"consumer";"disposable income in";"economy"
"consumer";"high income in";"economy"
"consumer";"have";"disposable income in economy"
"high disposable income";"be in";"economy"
"consumers";"spend";"more"
"consumer";"income in";"economy"
"consumer demand";"can lead to";"shortage relative"
"increase consumer demand";"can lead to";"shortage of supply relative to demand"
"increase consumer demand";"can lead to";"shortage relative"
"increase consumer demand";"can lead to";"shortage"
"consumer demand";"can lead to";"shortage"
"increase consumer demand";"can lead to";"shortage of supply"
"increase consumer demand";"can lead to";"shortage relative to demand"
"increase consumer demand";"can lead to";"shortage of supply relative"
"consumer demand";"can lead to";"shortage of supply relative to demand"
"consumer demand";"can lead to";"shortage relative to demand"
"consumer demand";"can lead to";"shortage of supply relative"
"consumer demand";"can lead to";"shortage of supply"
"central bank";"may implement";"expansionary policy"
"bank";"may implement";"monetary policy"
"central bank";"may implement";"monetary policy"
"central bank";"may implement";"policy"
"bank";"may implement";"policy"
"bank";"may implement";"expansionary policy"
"central bank";"may implement";"expansionary monetary policy"
"bank";"may implement";"expansionary monetary policy"
"government spending";"demand in";"economy"
"government spending";"can stimulate";"demand"
"demand";"be in";"economy"
"increase government spending";"can stimulate";"demand in economy"
"government spending";"can stimulate";"demand in economy"
"increase government spending";"can stimulate";"demand"
"increase government spending";"demand in";"economy"
"Government expenditure";"can contribute";"demand"
"Government expenditure";"can contribute";"to demand"
"businesses";"expand";"businesses"
"business";"be";"when optimistic"
"business";"be optimistic about";"future prospects"
"business";"be";"optimistic"
"business";"be";"when optimistic about future prospects"
"expand supply";"demand for";"businesses"
"the demand for their products";"can lead to";"inflationary pressure"
"the demand for their products";"however can lead to";"inflationary pressure"
"demand";"outstrip";"expand supply"
"the demand for their products";"however can lead to";"pressure"
"supply";"demand for";"businesses"
"the demand for their products";"can lead to";"pressure"
"demand";"outstrip";"supply"
