"sujeto";"predicado";"objeto"
"business";"be";"when optimistic about future prospects"
"increase";"be in";"consumer spending lead to surge in demand"
"surge";"be in";"demand"
"increase";"be in";"demand pull inflation"
"high disposable income";"be in";"economy"
"overall demand";"be in";"economy"
"business";"be optimistic about";"future prospects"
"increase demand";"be with";"businesses"
"government expenditure";"can contribute";"to demand"
"increase consumer demand";"can lead to";"shortage of supply relative to demand"
"increased consumer demand";"can lead to";"shortage of supply relative to demand"
"increase consumer demand";"can lead to";"shortage relative to demand"
"increase government spending";"can stimulate";"demand in economy"
"expand supply";"demand for";"businesses"
"increase government spending";"demand in";"economy"
"businesses";"expand";"businesses"
"central banks";"expansionary monetary policies such";"lower interest rates"
"economy";"have";"ability to supply"
"consumer";"have";"high disposable income in economy"
"consumer";"have";"high income in economy"
"consumer";"have";"higher disposable income or confidence in the economy"
"consumer";"high disposable income in";"economy"
"the demand for their products";"however can lead to";"inflationary pressures"
"central banks";"may implement";"expansionary monetary policies"
"central bank";"may implement";"expansionary monetary policy"
"central bank";"may implement";"expansionary policy"
"business";"may struggle as";"demand rises"
"business";"meet";"increase demand result in pressure on price"
"business";"meet";"increase demand result in upward pressure on price"
"business";"meet";"increase demand with they exist production capacity result in pressure on price"
"business";"meet";"increase demand with they exist production capacity result in upward pressure on price"
"business";"meet";"increase demand with they production capacity result in pressure on price"
"business";"meet";"increase demand with they production capacity result in upward pressure on price"
"business";"meet";"increased demand"
"business";"meet increased demand with";"businesses"
"overall demand for goods and services in an economy";"outpace";"economy 's ability"
"demand";"outstrip";"expand supply"
"demand for their products";"outstrip";"expanded supply"
"consumers";"spend";"more"
"central banks";"stimulate";"economic growth"
"economy 's ability";"supply";"they"
