sujeto;predicado;objeto
"normative ethic";"be in";"history of philosophy"
"position";"fully articulate until";"century"
"position";"articulate until";"century"
"position";"articulate until";"19th century"
"position";"can";"can discern"
"position";"fully articulate until";"19th century"
"position";"can";"can discern throughout history"
"position";"can";"can discern throughout history of ethical theory"
"position";"can";"can discern throughout history of theory"
"utilitarianism";"be hold";"though be"
"utilitarianism";"be";"hold"
"utilitarianism";"be";"variety of view discuss"
"utilitarianism";"be";"view"
"utilitarianism";"be";"generally hold"
"utilitarianism";"be generally hold";"though be"
"utilitarianism";"be hold";"to view"
"utilitarianism";"be generally hold";"view"
"utilitarianism";"be hold";"view"
"utilitarianism";"be";"many variety of view discuss"
"utilitarianism";"be generally hold";"be"
"utilitarianism";"be hold";"be"
"right action";"be";"action"
"action";"be";"action"
"utilitarianism";"be generally hold";"to view"
"right action";"be understand entirely in";"term of consequence produce"
"action";"be";"understand entirely"
"action";"be understand in";"term"
"action";"be";"understand"
"right action";"be understand in";"term of consequence produce"
"action";"be understand entirely in";"term"
"right action";"be";"understand entirely"
"right action";"be understand in";"term"
"right action";"be";"understand"
"right action";"be understand entirely in";"term"
"right action";"be understand in";"term of consequence"
"action";"be understand in";"term of consequence"
"action";"be understand in";"term of consequence produce"
"right action";"be understand entirely in";"term of consequence"
"action";"be understand entirely in";"term of consequence"
"action";"be understand entirely in";"term of consequence produce"
"utilitarianism";"do with";"scope of relevant consequence"
"utilitarianism";"do with";"scope of consequence"
"utilitarianism";"do with";"scope"
"one";"ought maximize";"overall good"
"one";"ought maximize";"good"
"John Stuart Mill";"be";"hedonist"
"John Stuart Mill";"identify so";"good"
"John Stuart Mill";"identify";"good"
"classical Utilitarians";"identify so";"good"
"Jeremy Bentham";"identify so";"good"
"good";"be hedonist about";"value"
"John Stuart Mill";"be hedonist about";"value"
"good";"be";"hedonist"
"classical Utilitarians";"identify";"good"
"Utilitarians";"identify so";"good"
"Jeremy Bentham";"identify";"good"
"Utilitarians";"identify";"good"
