"sujeto";"predicado";"objeto"
"morally right action";"be";"action"
"utilitarianism";"be";"generally hold"
"good";"be";"hedonist"
"john stuart mill";"be";"hedonist"
"utilitarianism";"be";"many variety of view discuss"
"right action";"be";"understand entirely"
"utilitarianism";"be generally hold";"though be"
"utilitarianism";"be generally hold";"to view"
"good";"be hedonist about";"value"
"john stuart mill";"be hedonist about";"value"
"normative ethic";"be in";"history of philosophy"
"utilitarianism";"be one of";"most powerful and persuasive approaches to normative ethics in the history of philosophy"
"right action";"be understand entirely in";"term of consequence produce"
"proto utilitarian positions";"can discern throughout";"history of ethical theory"
"position";"can discern throughout";"history of theory"
"utilitarianism";"do with";"scope of consequence"
"utilitarianism";"do with";"scope of relevant consequence"
"proto utilitarian positions";"fully articulate until";"19th century"
"classical utilitarians";"identify so";"good"
"jeremy bentham";"identify so";"good"
"john stuart mill";"identify so";"good"
"one";"ought maximize";"overall good"
"one";"ought on";"utilitarian view"
