sujeto;predicado;objeto
"John Stuart Mill";"IDENTIFIED_GOOD_WITH";"pleasure"
"Jeremy Bentham";"IDENTIFIED_GOOD_WITH";"pleasure"
"John Stuart Mill";"ASSOCIATED_WITH";"Utilitarianism"
"Jeremy Bentham";"ASSOCIATED_WITH";"Utilitarianism"
"Utilitarianism";"IS_A";"approach to normative ethics"
"Utilitarianism";"HAS_CHARACTERISTIC";"produces the most good"
"Utilitarianism";"IS_A";"form of consequentialism"
"Utilitarianism";"DIFFERENTIATED_FROM";"egoism"
"Epicurus";"ASSOCIATED_WITH";"hedonism about value"
"Epicurus";"ASSOCIATED_WITH";"hedonists"
"hedonists";"FOCUSED_ON";"value"
"hedonists";"BELIEF";"maximize the good"
"maximize the good";"DEFINED_AS";"the greatest amount of good for the greatest number"
