sujeto;predicado;objeto
"Utilitarianism";"IS_A_TYPE_OF";"Normative ethics"
"Utilitarianism";"IS_AN_APPROACH_TO";"Normative ethics"
"Utilitarianism";"EXISTS_IN";"Philosophy"
"Proto-utilitarian positions";"EXIST_IN";"Ethical theory"
"Proto-utilitarian positions";"CAN_BE_DISCERNED_THROUGHOUT";"history of ethical theory"
"Utilitarianism";"IS_THE_VIEW_THAT";"Morally right action produces the most good"
"Morally right action";"IS_AN_ACTION_THAT";"produces the most good"
"Utilitarianism";"IS_A_FORM_OF";"Consequentialism"
"In Consequentialism, Right action";"IS_UNDERSTOOD_IN_TERMS_OF";"consequences produced"
"Scope of relevant consequences";"DISTINGUISHES";"Utilitarianism from Egoism"
"Utilitarianism holds";"ONE_OUGHT_TO";"maximize overall good"
"Maximizing overall good";"INVOLVES_CONSIDERING";"good of others"
"Maximizing overall good";"INVOLVES_CONSIDERING";"one's own good"
"Jeremy Bentham";"IS_A";"Classical Utilitarian"
"John Stuart Mill";"IS_A";"Classical Utilitarian"
"Classical Utilitarians";"IDENTIFIED_GOOD_WITH";"pleasure"
"Jeremy Bentham";"IDENTIFIED_GOOD_WITH";"pleasure"
"John Stuart Mill";"IDENTIFIED_GOOD_WITH";"pleasure"
"Classical Utilitarians";"WERE";"hedonists"
"Hedonists";"ARE_ABOUT";"value"
"Epicurus";"WAS_A";"hedonist"
"Classical Utilitarians held";"ONE_OUGHT_TO";"maximize the good"
"Maximizing the good";"BRINGS_ABOUT";"the greatest amount of good for the greatest number"

